,doc,qcode,text
1,1,women,"This study systematically explored idioms, explanatory models, and conceptual-izations in Maryland County, Liberia to develop a culturally-resonant screening tool for mental distress. We employed a sequential mixed-methods process of: (1) free-lists and semi-structured interviews (n = 20); patient chart reviews (n = 315); (2) pile-sort exercises, (n = 31); and (3) confirmatory focus group discussions (FGDs); (n = 3) from June to December 2017. Free-lists identified 64 idioms of distress, 36"
2,1,stress,"This study systematically explored idioms, explanatory models, and conceptual-izations in Maryland County, Liberia to develop a culturally-resonant screening tool for mental distress. We employed a sequential mixed-methods process of: (1) free-lists and semi-structured interviews (n = 20); patient chart reviews (n = 315); (2) pile-sort exercises, (n = 31); and (3) confirmatory focus group discussions (FGDs); (n = 3) from June to December 2017. Free-lists identified 64 idioms of distress, 36"
3,1,emotions,"This study systematically explored idioms, explanatory models, and conceptual-izations in Maryland County, Liberia to develop a culturally-resonant screening tool for mental distress. We employed a sequential mixed-methods process of: (1) free-lists and semi-structured interviews (n = 20); patient chart reviews (n = 315); (2) pile-sort exercises, (n = 31); and (3) confirmatory focus group discussions (FGDs); (n = 3) from June to December 2017. Free-lists identified 64 idioms of distress, 36"
4,1,women,"idioms resulted, the most substantial of which included terms related to the heart and to the brain/mind. The final screening tool took into account 11 idioms and 6 physical Electronic supplementary material The online version of this article (https://doi.org/10.1007/s11013-018-9581-z) contains supplementary material, which is available to authorized users. &"
5,1,stress,vides the framework for culturally resonant mental healthcare by cataloguing language around mental distress and designing an emic screening tool for validation in a clinical setting. Keywords Idioms of distress  Liberia  Screening tool development  Culture and psychiatry  Mental health Introduction Providing adequate mental healthcare in non-Western low-resource settings requires understanding culturally salient expressions of mental suffering and how such expressions manifest in various contexts. While translating
6,1,women's group,vides the framework for culturally resonant mental healthcare by cataloguing language around mental distress and designing an emic screening tool for validation in a clinical setting. Keywords Idioms of distress  Liberia  Screening tool development  Culture and psychiatry  Mental health Introduction Providing adequate mental healthcare in non-Western low-resource settings requires understanding culturally salient expressions of mental suffering and how such expressions manifest in various contexts. While translating
7,1,women,l practices that exclude local ideologies at the expense of those suffering from mental distress. A growing body of research acknowledges the subjectivity of the presentation and conceptualization of mental ill-health and calls for emic research that understands non-Western explanatory models and forms screening tools and diagnostic frameworks from local concepts (Summerfield 2008; Kaiser et al. 2014; Weaver 2017). Incorporating local idioms of mental distress into mental healthcare and psychiatric treatment has become an increasingly well-recognized way of prioritizing
8,1,stress,"urthermore, neglecting to acknowledge locally-resonant etiologies can reinforce the false dichotomy 123 686                                                   Cult Med Psychiatry (2018) 42:684–703 between biomedical and traditional practices. Ideally, understanding a particular culture’s articulation of mental distress can inform medical practices built from local ideologies in which patients can see their culture and belief system reflected. Especially in rural areas in sub-Saharan Africa, where somatic symptoms are strongly associated with mental distress (Quarshie 2006), healthcare environments that utilize open communication about symptoms associated with mental distress and their social context can provide a deeper understanding and more holistic view of these conditions. Early ethnographic explorations of idioms of mental distress in non-Western contexts have evolved to a more nuanced discussion of the relationships between expressions of mental suffering and the broader social, cultural, religious, and political context. The term ‘‘idioms of distress’’ refers to culturally specific"
9,1,stress,ructed mind–body divisions that communicate mental distress (Kohrt and Harper 2008; Kohrt and Hruschka 2010). Subsequent studies have used these ethnopsychologies as a basis to create culturally informed screening tools for depression and childhood trauma (Kohrt et al. 2011). Research in Cambodia exploring explanatory models related to khyal attacks precluded the development of a culturally sensitive questionnaire for trauma among Camb
10,1,women's group,"in the remote and often inaccessible southeast corner of the country on the border of Côte D’Ivoire (Government of the Republic of Liberia 2008). A large portion of the population in this region sought refuge in Côte D’Ivoire during the civil war, which led to the substantial disruption of the healthcare system. Following the civil war, one epidemiological survey found 40% of adults met the criteria for Major Depressive Disorder and 44% met the criteria for PTSD (Johnson et al. 2008). Liberia has one psychiatric hospital and considerable stigma exists surrounding mental healthcare, for both clinicians and patients (Esan et al. 2014; World Health Organizat"
